0.167527,0.62337,0.984708,0.990846,0.148928,27.459, signal: 0
0.112853,0.725849,0.34989,0.600743,0.684537,241.532, signal: 0
0.119035,0.620909,0.619028,0.00848721,0.64447,92.9859, signal: 0
0.257268,0.897681,0.323841,0.801042,0.119018,252.899, signal: 0
0.663916,0.44162,0.310109,0.00300948,0.580384,42.3216, signal: 0
0.84355,0.548494,0.534412,0.8687,0.241087,111.465, signal: 0
0.129807,0.669984,0.421231,0.626364,0.297384,20.2072, signal: 0
0.297058,0.654994,0.483494,0.0781684,0.776426,69.7363, signal: 0
0.97991,0.355396,0.135413,0.882682,0.241919,20.7084, signal: 0
0.732973,0.0829697,0.471764,0.937069,0.313427,199.782, signal: 0
